target_group_id,topic_id,keyword,bid_message,stop_keywords,is_active,has_bidded
3720761110,24,^(Jadwal\s*:\s*)?(Rabu|Wednesday|Wed)\s+(pukul\s+)?16([.:]00)?\s*(WIB)?$,gas rabu,rabu 16:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?07([.:]00)?\s*(WIB)?$,gas kamis,kamis 07:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?08([.:]00)?\s*(WIB)?$,gas kamis,kamis 08:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?09([.:]00)?\s*(WIB)?$,gas kamis,kamis 09:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?10([.:]00)?\s*(WIB)?$,gas kamis,kamis 10:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?11([.:]00)?\s*(WIB)?$,gas kamis,kamis 11:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?12([.:]00)?\s*(WIB)?$,gas kamis,kamis 12:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?13([.:]00)?\s*(WIB)?$,gas kamis,kamis 13:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?14([.:]00)?\s*(WIB)?$,gas kamis,kamis 14:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?15([.:]00)?\s*(WIB)?$,gas kamis,kamis 15:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Kamis|Thursday|Thu)\s+(pukul\s+)?16([.:]00)?\s*(WIB)?$,gas kamis,kamis 16:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Jumat|Jum'at|Friday|Fri)\s+(pukul\s+)?07([.:]00)?\s*(WIB)?$,gas jumat,jumat 07:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Jumat|Jum'at|Friday|Fri)\s+(pukul\s+)?08([.:]00)?\s*(WIB)?$,gas jumat,jumat 08:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Jumat|Jum'at|Friday|Fri)\s+(pukul\s+)?09([.:]00)?\s*(WIB)?$,gas jumat,jumat 09:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Jumat|Jum'at|Friday|Fri)\s+(pukul\s+)?10([.:]00)?\s*(WIB)?$,gas jumat,jumat 10:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Jumat|Jum'at|Friday|Fri)\s+(pukul\s+)?13([.:]00)?\s*(WIB)?$,gas jumat,jumat 13:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Jumat|Jum'at|Friday|Fri)\s+(pukul\s+)?14([.:]00)?\s*(WIB)?$,gas jumat,jumat 14:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Jumat|Jum'at|Friday|Fri)\s+(pukul\s+)?15([.:]00)?\s*(WIB)?$,gas jumat,jumat 15:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Jumat|Jum'at|Friday|Fri)\s+(pukul\s+)?17([.:]00)?\s*(WIB)?$,gas jumat,jumat 17:00 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?07([.:]30)?\s*(WIB)?$,gas senin,senin 07:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?08([.:]30)?\s*(WIB)?$,gas senin,senin 08:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?09([.:]30)?\s*(WIB)?$,gas senin,senin 09:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?10([.:]30)?\s*(WIB)?$,gas senin,senin 10:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?11([.:]30)?\s*(WIB)?$,gas senin,senin 11:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?12([.:]30)?\s*(WIB)?$,gas senin,senin 12:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?13([.:]30)?\s*(WIB)?$,gas senin,senin 13:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?14([.:]30)?\s*(WIB)?$,gas senin,senin 14:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?15([.:]30)?\s*(WIB)?$,gas senin,senin 15:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?16([.:]30)?\s*(WIB)?$,gas senin,senin 16:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Senin|Monday|Mon)\s+(pukul\s+)?17([.:]30)?\s*(WIB)?$,gas senin,senin 17:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Selasa|Tuesday|Tue)\s+(pukul\s+)?07([.:]30)?\s*(WIB)?$,gas selasa,selasa 07:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Selasa|Tuesday|Tue)\s+(pukul\s+)?08([.:]30)?\s*(WIB)?$,gas selasa,selasa 08:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Selasa|Tuesday|Tue)\s+(pukul\s+)?09([.:]30)?\s*(WIB)?$,gas selasa,selasa 09:30 stop,TRUE,FALSE
3720761110,24,^(Jadwal\s*:\s*)?(Selasa|Tuesday|Tue)\s+(pukul\s+)?10([.:]30)?\s*(WIB)?$,gas selasa,selasa 10:30 stop,TRUE,FALSE
